"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28812","App Users: filter by Joined Date range","chromium","Sat Sep 06 22:39:08 IST 2025","passed","Sat Sep 06 22:39:37 IST 2025","Post-login flows (split tests with shared login)","EndToEnd.spec.js","",""
"","26483","Create Activity (full flow)","chromium","Sat Sep 06 22:35:59 IST 2025","passed","Sat Sep 06 22:36:25 IST 2025","Post-login flows (split tests with shared login)","EndToEnd.spec.js","",""
"","29487","App Users: filter by status Suspended","chromium","Sat Sep 06 22:38:10 IST 2025","passed","Sat Sep 06 22:38:40 IST 2025","Post-login flows (split tests with shared login)","EndToEnd.spec.js","",""
"","34910","App Users: search by keyword","chromium","Sat Sep 06 22:37:03 IST 2025","passed","Sat Sep 06 22:37:37 IST 2025","Post-login flows (split tests with shared login)","EndToEnd.spec.js","",""
"","21970","Logout user","chromium","Sat Sep 06 22:40:03 IST 2025","passed","Sat Sep 06 22:40:25 IST 2025","Post-login flows (split tests with shared login)","EndToEnd.spec.js","",""
"","36782","Create Activity Negative: start and end date same and end time before start time","chromium","Sat Sep 06 22:36:26 IST 2025","passed","Sat Sep 06 22:37:02 IST 2025","Post-login flows (split tests with shared login)","EndToEnd.spec.js","",""
"","25327","App Users: Clear Filters button resets table","chromium","Sat Sep 06 22:39:37 IST 2025","passed","Sat Sep 06 22:40:02 IST 2025","Post-login flows (split tests with shared login)","EndToEnd.spec.js","",""
"","23838","Login succeeds with correct OTP","chromium","Sat Sep 06 22:35:35 IST 2025","passed","Sat Sep 06 22:35:59 IST 2025","","EndToEnd.spec.js","",""
"","5605","Login fails with invalid email","chromium","Sat Sep 06 22:35:17 IST 2025","passed","Sat Sep 06 22:35:23 IST 2025","","EndToEnd.spec.js","",""
"","32235","App Users: filter by status Active","chromium","Sat Sep 06 22:37:38 IST 2025","passed","Sat Sep 06 22:38:10 IST 2025","Post-login flows (split tests with shared login)","EndToEnd.spec.js","",""
"","11407","Login fails with wrong OTP","chromium","Sat Sep 06 22:35:23 IST 2025","passed","Sat Sep 06 22:35:35 IST 2025","","EndToEnd.spec.js","",""
"","28193","App Users: filter by status Banned","chromium","Sat Sep 06 22:38:40 IST 2025","passed","Sat Sep 06 22:39:08 IST 2025","Post-login flows (split tests with shared login)","EndToEnd.spec.js","",""
