"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16611","Login fails with invalid email","chromium","Wed Sep 10 11:06:56 IST 2025","passed","Wed Sep 10 11:07:12 IST 2025","","EndToEnd.spec.js","",""
"","50465","App Users: Clear Filters button resets table","chromium","Wed Sep 10 11:15:49 IST 2025","passed","Wed Sep 10 11:16:40 IST 2025","Post-login flows (split tests with shared login)","EndToEnd.spec.js","",""
"","65561","User Created Table: Verify pagination works","chromium","Wed Sep 10 11:18:47 IST 2025","passed","Wed Sep 10 11:19:53 IST 2025","Post-login flows (split tests with shared login)","EndToEnd.spec.js","",""
"","55506","Login succeeds with correct OTP","chromium","Wed Sep 10 11:07:41 IST 2025","passed","Wed Sep 10 11:08:37 IST 2025","","EndToEnd.spec.js","",""
"","28119","Login fails with wrong OTP","chromium","Wed Sep 10 11:07:13 IST 2025","passed","Wed Sep 10 11:07:41 IST 2025","","EndToEnd.spec.js","",""
"","68114","App Users: Verify infinite scroll pagination","chromium","Wed Sep 10 11:16:40 IST 2025","passed","Wed Sep 10 11:17:48 IST 2025","Post-login flows (split tests with shared login)","EndToEnd.spec.js","",""
"","71301","Verify Suspended filter count matches Total App Users count","chromium","Wed Sep 10 11:19:53 IST 2025","failed","Wed Sep 10 11:21:04 IST 2025","Post-login flows (split tests with shared login)","EndToEnd.spec.js","",""
"","71414","Verify Banned filter count matches Total App Users count","chromium","Wed Sep 10 11:21:05 IST 2025","failed","Wed Sep 10 11:22:16 IST 2025","Post-login flows (split tests with shared login)","EndToEnd.spec.js","",""
"","63024","App Users: filter by status Suspended","chromium","Wed Sep 10 11:12:48 IST 2025","passed","Wed Sep 10 11:13:51 IST 2025","Post-login flows (split tests with shared login)","EndToEnd.spec.js","",""
"","31573","Intentional Test Defect Example","chromium","Wed Sep 10 11:22:17 IST 2025","failed","Wed Sep 10 11:22:49 IST 2025","Post-login flows (split tests with shared login)","EndToEnd.spec.js","",""
"","49734","Create Activity (full flow)","chromium","Wed Sep 10 11:08:37 IST 2025","passed","Wed Sep 10 11:09:26 IST 2025","Post-login flows (split tests with shared login)","EndToEnd.spec.js","",""
"","64564","Create Activity Negative: start and end date same and end time before start time","chromium","Wed Sep 10 11:09:26 IST 2025","passed","Wed Sep 10 11:10:31 IST 2025","Post-login flows (split tests with shared login)","EndToEnd.spec.js","",""
"","31513","Logout user","chromium","Wed Sep 10 11:22:50 IST 2025","failed","Wed Sep 10 11:23:21 IST 2025","Post-login flows (split tests with shared login)","EndToEnd.spec.js","",""
"","75073","App Users: filter by status Banned","chromium","Wed Sep 10 11:13:51 IST 2025","passed","Wed Sep 10 11:15:07 IST 2025","Post-login flows (split tests with shared login)","EndToEnd.spec.js","",""
"","64064","App Users: filter by status Active","chromium","Wed Sep 10 11:11:44 IST 2025","passed","Wed Sep 10 11:12:48 IST 2025","Post-login flows (split tests with shared login)","EndToEnd.spec.js","",""
"","59169","Activities: Verify infinite scroll pagination","chromium","Wed Sep 10 11:17:48 IST 2025","passed","Wed Sep 10 11:18:47 IST 2025","Post-login flows (split tests with shared login)","EndToEnd.spec.js","",""
"","42636","App Users: filter by Joined Date range","chromium","Wed Sep 10 11:15:07 IST 2025","passed","Wed Sep 10 11:15:49 IST 2025","Post-login flows (split tests with shared login)","EndToEnd.spec.js","",""
"","73437","App Users: search by keyword","chromium","Wed Sep 10 11:10:31 IST 2025","passed","Wed Sep 10 11:11:44 IST 2025","Post-login flows (split tests with shared login)","EndToEnd.spec.js","",""
